profileName,review/summary,review/score
Reader,Do not waste your time....lousy,1.0
Charles R. Humphrey III,made me hungry,3.0
"C. M. Dempsey ""avid reader""",Not as good as I Expected,1.0
"Linda Pagliuco ""katknit""","If music be the food of love, play on....",5.0
"L. Redding ""sassymama""",Delicious!,5.0
Fafa Demasio,"A lip smacking, delicious story all the way!",5.0
Beverley Strong,Gastronomic delights,4.0
Lady Y,Book of Chance,4.0
"Diane Kinman ""Author, Franca's Story and Cond...",Tantalizing and delicious. A must-read for people going to Italy.,5.0
JCP,"Light reading, light in substance",2.0
"Alan A. Elsner ""Alan Elsner, author""",The food is sexier than the sex,2.0
Paula DiGiacomo-Fan,Very Entertaining,5.0
Susan Smith,Cyrano de Bergerac goes to Rome,5.0
Acute Observer,The Case of the Double Murder,4.0
Charles Ashbacher,An enjoyable story if you can accept the new style,4.0
P. J. Eby,"Not too much, not too little, but JUST RIGHT",5.0
Ann Glozmann Hansen,Back to basics,2.0
,Back to basics,2.0
CClio333,Good reference material,4.0
"Kristina M. Schuff ""kristista""",A MUST FOR EVERY PARENT !!!!,5.0
N. Wells,Lovingly letting others experience the consequences of their own actions,5.0
Tara Meyer,Simplified version of Love and Logic,4.0
"S. Marlow ""cscoley""",Don't let the ignorance of the previous reviewer deter you from this valuable resource!,5.0
Silke,A MUST read for any parent,5.0
Noelle C,Great Ideas,5.0
LoveLori*3,How to Discipline Kids without Losing Their Love and Respect,5.0
O.M.,Short book explaining Love and Logic,4.0
Kristen carstensen - Catering Office,A must read for parents.,5.0
"Just Mom ""mom""",Very helpful!,5.0
Debbie Ruiz,How to Discipline Kids without Losing Their Love and Respect,5.0
jmj,It Works!!,5.0
kaiserboy,Must have if you have kids,5.0
SDoray,Fantastic,5.0
Nebraska,Jim Fay,5.0
HelloJilli,"Great intro to ""love and logic""",5.0
"Lynne A. Martin ""rainbowlynne""",Book review,5.0
Laura L. Wines,&quot;Dinner at Antoine's: An Intriguing Mystery Set in New Orlea,5.0
"E. A Solinas ""ea_solinas""",Entertaining tale of old New Orleans,4.0
"Phyllis Zimbler Miller ""Author/Marketing Cons...",A Novel as Enjoyable as the Restaurant Antoine's,4.0
"Rowena Leibig ""Vintage 34""",An old friend,5.0
Lynda C. Kayes,New Orleans has not changed,5.0
Avid reader,A favorite book by this fine author!,5.0
LB,Just what I ordered,5.0
strickn,Decoy Mystery,3.0
Beverly A. Thomas,Great Book--unacceptable condition,1.0
Martha E. Hopkins,Very dated and predictable mystery,3.0
Tal Davidson,The Truth About Homeopathy,5.0
TCM,Not a novel,5.0
"""cheeni""",Among the best technical books I've ever read,5.0
Michael A. A. Schall,"A Solid, Complete Reference",5.0
Norman Snyder,HTML The Complete Reference,4.0
,Excellent - Very Useful,5.0
,THE complete reference.,5.0
,This is an invaluable reference book!,5.0
,Great...can't say anything else,5.0
,Wonderful. A thorough reference guide.,5.0
,"Excellent, complete reference book",5.0
"A. Hardesty ""fluentvillage""",Complete but Not Good,3.0
Uriel Wittenberg,Omissions Diminish Usability as Reference,2.0
Chris,SIMPLY THE BEST HTML BOOK I'VE EVER READ!!!!,5.0
,Fantastic Advanced Course!,4.0
John Satterfield,Excellent and thorough introduction to HTML,5.0
Dillon S,The Title Says it all,5.0
"J. Glass ""drocket@drocket.net""",Excellent learning and reference book,5.0
noiglerdab@aol.com,Great Book For All levels of Sit Design,4.0
,Great Reference,5.0
,Omissions are there in reference...,4.0
,The only HTML book you really need,5.0
Jim Moran,Add Improved Functionality to any Website!,5.0
,HTML made easy,5.0
Matthew Foraker,The Only HTML Text You will Need,5.0
Syed Waqas Ahmed,I bought this book after reading these reviews...,4.0
,A comprehensive and &quot;user-friendly&quot; guide to HTML/DHTML,5.0
,Not Good Enough,3.0
Brandon Sander,A MUST HAVE,5.0
,Real HTML for people who build sites for a living,5.0
"Mr. M. O'Sullivan ""Mr M O'Sullivan""",Not as good as the 2nd Edition,4.0
Chris d'Aquin,My most referenced web book!,5.0
David Tress,A Reference Book Worth Having - Any Level,5.0
Abhi(agang99@hotmail.com),Simply excellent !!! No Comparision,5.0
,Most complete book about HTML i've ever seen.,5.0
,Everything webmaster needs to know.,5.0
,WORTH TWICE THE PRICE!,5.0
,"Excellent Guide, A MUST HAVE",5.0
"Web Developer, IT Sector/SAIC, (marisaww@hotm...",Search no more...the &quot;Best&quot; HTML book around!,5.0
Dana Greil,From a beginner,5.0
,"Excellent - Good for beginners, comprehensive",5.0
,"Excellent - Good for beginners, comprehensive",5.0
Adrian,"Handy, but has redundancy",4.0
,Could Not Put the Book Down,5.0
joseph e. whittenberger,Great Book--Didn't hold togeter,5.0
Dillon Lutes,Complete reference... yes,1.0
"""goatbear""",a mystery wrapped inside an enigma,4.0
,An intelligent and well-structured guide to HTML,5.0
Brian McCullom,Excellent coverage for both beginning and advanced users,5.0
"Michael J Woznicki ""Michael J Woznicki""",Makes designing and updating web pages a snap!,5.0
sauvili,Good Overview,3.0
Robert N. Schroeter,Not a horrible place to start.,3.0
"Matthew T. Barnicle ""kat-man-dude""",The only HTML book you'll need,5.0
Mudar,Good place to start Web development,4.0
Sage Adams,Simply awesome,5.0
"Mr. M. O'Sullivan ""Mr M O'Sullivan""",The only HTML book you'll ever need.,5.0
Scott Reynolds,Good but not Great reference Book,3.0
"Bruce Gray ""gurpsgm""",Why is there a Cosmic Decoy?,5.0
Michael Samerdyke,An Essential Book on Soviet Cinema,5.0
K. Viker,"A multicultural, multigenerational story of acceptance",4.0
Lee Armstrong,Looking for Love in All the Wrong Places,4.0
"Mr. Timothy S. Jones ""mrsweettooth""","Thoughtful, contemporary fiction",4.0
Ben,"Good, but not enough",3.0
John Crutcher,"This book ""cleans up""!",5.0
M. Klenke,The Adventures of Thumbs Up Johnnie Jimmy Jam Germ & the Happy Handshake,5.0
"B. Avery ""bonzaicut""",Fun and upbeat,5.0
"Larry Levine ""Larry""",A must read!!!!,5.0
"Rich Mac ""Jane""",Woburn: Forgotten Tales & Untold Stories,4.0
"FrKurt Messick ""FrKurt Messick""",Climbing the rungs,5.0
"Steven Marks ""Prog Harpo""",The hand of God,5.0
J. Miller,Poetic and Intelligent,5.0
aem0608@is2.nyu.edu,Scholarly Spirituality,5.0
"V. Markowski ""Ginny Markowski""",A Recommendation for Christians,5.0
Barbara Somach,"God was in this Place & I, i did not know",5.0
"Beatriz G. Perdomo ""Cuban Coffee.""",Awesome.,5.0
Eric Maroney,Too Much on the Mystical Plate,2.0
"Laura Weakley ""spiritual1rav""",This book is written to be savored!,5.0
Diana L. Revelle,"God Was in This Place and I, I Did Not Know",5.0
"Lily ""stargirl104""","Big Ideas, Small Book",4.0
Michelle,A highly enjoyable read,5.0
"David E. Siegel ""-DES""",A good intro to Zahn,4.0
M. Gyurik,Different,5.0
Lus de Deus,Very good view on True Socialism!,5.0
Dana Garrett,Oscar Wilde: Theory on a Holiday,3.0
Thatkamikid,Awesome,5.0
Paul Pellicci,"Very interesting, but sad.",4.0
"J. Edgar Mihelic ""Failed Mime""",An interesting little essay,4.0
"Murray L. Winship ""Murphy""",of great historical value,5.0
Dalton C. Rocha,"This book was writen, 100 years ahead of his time",5.0
Gregory M. Flanders,Grrrrr. Arrrrgh.,1.0
I. Rose,Wonderful and Fun!,4.0
GAMER,Not a very good Little Critter book,1.0
"M. Farris ""happy2bme""",Love it,5.0
"H. Lubell ""book lover""",We love Mercer Mayer!,5.0
Jennifer Galan,bye bye mom and dad,2.0
,Enjoyable Read,4.0
M. Barrera,Fabulous...,5.0
crystal greene,SHE HAS DONE IT AGAIN!!!!!!,4.0
"R. Peters ""Sapph""",Wonderful!!!,5.0
D. Hayner,A change from the Carpathian Series,5.0
Kelly Owens,a good start for a new series,4.0
Kelly Owens,a good start for a new series,4.0
Marian,Riveting,4.0
,More Romance Please and Less Mystery!!,2.0
,Wonderful!!,5.0
,Not her best...........,2.0
"Barbara A. Mazzuca ""Risqu Reviews""",Scarletti Curse (candleglow),3.0
"L. Schad ""lschad""",Scarletti Curse is an excellent gothic and a great read.,5.0
Tammy Moss,What a Book!!,5.0
"""ebupe""",disappointing read,3.0
"TooManyHobbies ""too_many_hobbies""",This one is missing that Feehan Spark,2.0
Nancy,Scarletti Curse,5.0
Donna,Christine does it again.,5.0
Edna Duzant,Favorite Author,5.0
angie,wonderful read!,5.0
"Susan Dodd ""Susan Dodd""",Great Book,5.0
Tara C,Intriguing story,4.0
DiDi,Great,5.0
"P. Merricks-Lewis ""PMLEWIS""",The Scarletti Cruse,4.0
Eden,Fabulous as usual,5.0
Lyss,Cursed me good,5.0
divigirl66,the scarletti curse,5.0
Samantha,Fabulous!,5.0
sg17,Great book,5.0
lia,amazing,5.0
"Brenda Condit ""satinskper""",Christine Feeham has done it again!,4.0
"Charity K. Anderson ""chat-jd""",Engaging page turner!,4.0
Pam from Texas,All of the elements I like in a romance,4.0
lyndy,Excellent read!,5.0
Ketsia,Another great read,5.0
"S. Mclauchlan ""S.M.M.""",Wonderful gothic,5.0
"Jenny J.J.I. ""A New Yorker""",Enjoyable Gothic Read,4.0
Tasha B.,Absolutely Wonderful!,4.0
"Carolyn Christy ""Caro""",Brimming with mystery and . . . danger,4.0
Michelle888,Has enough mystery to keep you reading,3.0
"Sheri J. Morgan ""Cerezita""",Very good romantic read,4.0
pat wickham,Too Boring,2.0
,"Good, except......",3.0
"Katherine L. Schlem ""Mother of boys, bookworm...",One of the Best of the Best,5.0
"Jeanette L. Ponder ""isiskali.com - Isis Kali'...",Ick ack. Put it back.,1.0
anne richards,disappointed,2.0
"""madkeenreader""",Not up to scratch!,2.0
hagobu namwenye,great,4.0
"Diaspora Chic ""diaspora_chic""",This book was so-so.,3.0
HELEN CLOSE,Wishs,5.0
"Joida R. Heuston ""Jody""",The Scarletti Curse,5.0
"K. Yang ""Addicted Gamer""",Beautiful & Touching,5.0
Jellikal,Excellent Gothic romance,5.0
Furyan Goddess,again having a hard time getting into this one.,3.0
"The War Goddess ""Morrigahn""","Ancient Family Curse, Hot Guy, Beautiful Yet Stubborn Girl",5.0
Johnna S.,It was OK,3.0
"J COFFMAN ""Jackie""",A slow start but an exciting climax,4.0
"Jackie Lucius ""monatuhwa""",Sure Miss,2.0
Reema Al,WONDERFUL GOTHIC,4.0
AME,Ms. Feehan has done it again!!,5.0
Avid Reader,YOU HAVE ANOTHER WINNER..... CONGRATULATIONS,5.0
"D. Elizabeth ""Bella Strega""",An Old World change that's definitely wonderful,5.0
"K. Schroeder ""Coffee Please""",Feehan never misses,5.0
Johnna S.,It was OK,3.0
Elena Monteros,Mysterious.,4.0
,"Fabulous, caputured the period beautifully...",5.0
"Cherlin ""Artist""",Great Reading,5.0
,"Good Book, But Could off Been Better",4.0
"""bonniem71""",Scarletti Curse,3.0
"R. Peters ""Sapph""",Wonderful!!!,5.0
Kathie Firzlaff,Fabulous Book! Fabulous Author!!,5.0
,Different but still great,4.0
"Darryl-Ann Adams ""Satire""",Exciting Tales,4.0
LuLu,I really wish i hadn't wasted my time,2.0
B. Loehr,all of her books,5.0
Lorraine Donfor-Chen,Excellent Read,5.0
Janet K. Moore,A Lost Author,1.0
Lynda S DuVall,Awesome Read!,5.0
bookfairy,The Scarletti curse,5.0
Sunshine,Outstanding!,5.0
IJM,Favorate book,5.0
"Kimberly K. Music ""tiggerstruckin""",will keep you reading,5.0
K. Boyne,Couldnt put it down,5.0
"Rosanne Furmanski ""princeworks""",the scarletti curse,5.0
Sherbetcane,WOW!,5.0
Alice 6115,Scarletti Curse,5.0
"L. Hernandez ""Book_Lover&#60;3""",A Must Read!,5.0
"Jennifer Bull ""Book Glommer""",Excellent Non-Carpathian Novel,5.0
Harriet Klausner,Exciting gothic story line,5.0
"C. Penn ""WordWeaving""",Gothic danger and passionate love -- Very highly recommended,5.0
"""adp44482""",a great read!,5.0
"O. Blaylock ""ladyisis2004""",Ms Feehan Dan Do No Wrong,5.0
Angela,Ho hum,3.0
"CMG ""cmme""",OK BOOK - BUT ANNOYING WRITING STYLE,2.0
A Customer,Carpathian Lite,3.0
"Kati ""Katidom""","Not her best, but not the worst either...",3.0
"L. J Lewis ""Miss Amii""",Couldn't finish it,2.0
"Shiobvan Christian ""Above7z7z7z""",Excellent!,5.0
Marshall W. Green,Hitting the Beach - D-Day,3.0
"Dr. James Fales, Director, Center for Automat...","Practical, money-saving advice",5.0
Jack Householder,The Bar Code Implementation Guide: Using Bar Codes in Distribution,5.0
"Patrick Cloutier ""Clermont-Cloutier, Consulti...",Great primer on Bar Coding,5.0
"John A. Van Devender ""Gadfly""",A Standard Work From Which To Start,4.0
Gareth Marshall,Good summary of most important features,4.0
JFF3,Great Books,5.0
Rksbabydoll,Cruel and Unusual,4.0
Ann Hoffman,Plenty of Twists and Turns,5.0
"Marie Anne A. ""Mary""",Woah- what happened between All That Remains and Cruel & Unusual?? Too many plot holes,3.0
"country granny ""country granny""",Cruel & Unusual,5.0
H. Jin,"Excellent first half, unfocussed and over-the-top second half",3.0
"D. K. Branom ""book lover""",Cruel and Unusual,5.0
"Ruth Thompson ""Weaver of Tales""",Fingerprints,4.0
Joanne K.,Good Deal and Fast Shipping,5.0
"Bonnie Brody ""Book Lover and Knitter""",One of the Better Books in the Scarpetta Series,4.0
"Book Worm ""Book Worm""",Unusual & Great,5.0
,"Great story, great heroine",5.0
KLowe,Patricia Cornwell has turned me into a reader,4.0
Bjorn Candel,Semi-Gory Crime Novel with Daring Lack of Love Interest,3.0
Linda Jane Isaacs,Spellbound,4.0
,GREAT! Her BEST!,5.0
madenusa9@aol.com,so - so,3.0
"""miclunney""",Deja vu,3.0
Harriet Klausner,solid Scarpetta police procedural,5.0
"Linda Phipps-chirrup ""Linda P-C""",An engrossing read (or listen),4.0
J. Evans,Really 3.5 stars...she has written better,3.0
,Suspenseful gripping tale with a slightly anticlimatic end,4.0
,Captivating,5.0
,The book was excellent,5.0
,This is the best Patricia Cornwell book I've read,5.0
"David S. Michaels ""Flavius Crispus""","2/3 of a great book, then... blah",1.0
"Susie Morris ""Book Junkie""",One to Keep You Wondering...,4.0
"Jennifer Dorrell ""jend954""",Great page turner,4.0
Caitlin Olson,Another awesome novel,4.0
Michael K. Smith,Interesting book to read during the holidays!,4.0
,AWESOME!!,5.0
Amy,Amy,5.0
D. Becton,Cruel and Unusual,4.0
Marsha K,Review,4.0
Hockey Mom,Great Read as Usual,4.0
"Amazon customer 77777 ""AC77777""",Excellent!,5.0
Judiz45701,Cruel and Unusual,5.0
"Ann Grogan ""Focused""",Good read but a little too technical for mere mortal!,4.0
"Liz W. ""villagebookreview""",Dissatisfying,3.0
Powerpurse,Love Scarpetta,4.0
Harris D. Levin,A really bad book,1.0
Catherine Durand,A lot can happen in a year.....,3.0
"snalen ""snalen""",A Mystery Worth Investigating,4.0
"clifford ""akitonmyers""",This is a great addition to the Scarpetta series,4.0
Karen Potts,Unexplained murders,4.0
Dcl70,Read this before Body Farm,4.0
Roger Saltzman,What happened to the ending?,4.0
"Anthony W. Dopke ""Tom Bombadil""",formula type writing,2.0
"F.Faulkner ""F.F.""","Forensically beautiful, yet disappointing,",3.0
Shannon Deason,ALL THE PLOT HOLES IN THIS BOOK ARE CRUEL AND UNUSUAL,3.0
"S. Schwartz ""romonko""",Best of the First Four in this series.,5.0
,"Catches you from the first and keeps you spellbound, but",5.0
rbtaylor@mindspring.com,Great Book!,5.0
lizard@iphone.net,"Cruel &amp; Unusual, was fabulous!",5.0
,ONE OF THE BEST BOOKS I'VE READ IN A LONG TIME!,5.0
,GOOD BOOK...YES...ANTICLIMAX....YES,4.0
rkparkes@ihug.co.nz,Gruesomely detailed and hard to put down,4.0
,All-nighter!,5.0
,This author has a way of keeping you interested. Marilyn DH,4.0
,Cornwell must have gotten tired of writing this story,4.0
,"excellent, couldn't read it fast enough",5.0
"Roundawg ""jrountree""",Just Plain Cruel Will Do,2.0
,great read,5.0
,what happend to Mark?,5.0
,Cornwell must have gotten tired of writing this book,4.0
Molly,Cruel and Unusual,4.0
"Joymarie ""Lover of the Written Word""",It must be hard for Cornwell,4.0
carol kenyon,Cruel and unusual,5.0
DJ,Always delivers!,5.0
Jean,Cruel and Unusual,4.0
Tammy Brooks,LOVED IT!!!,5.0
Lorraine Enos,Chilling,5.0
Sherry Schumacher,Ronnie Joe Waddell meets the electric chair ... or does he?,5.0
,One of the best books I have ever read,5.0
Max V,I guess it was a mystery,1.0
Patty Philbrook,A good mystery,4.0
Sherry Bohm,Inproper Advertising,1.0
K. N. Nelson,Lots of loose ends.,4.0
"Abigial Jackson ""Abi""",a real page-turner,4.0
,eh,3.0
lovermovie,Classic Cornwell,5.0
Charles H. Johnson,Cruel and Unusual,3.0
Crystal Starr Light,What if the death row criminal hadn't died?,3.0
"Holly L. Healy ""hbombs""",Audio Cassette Review,3.0
Amber Walton,Cruel and Unusual,5.0
"Dutch ""BookFan""",Cruel & Unusual by Patrica Cornwell,5.0
"Susan Calvin ""So many books, so little time!""",Solid Addition to the Series,4.0
Camilla Hartley,Good mystery,4.0
Amanda Houston,CORNWELL CRUD,4.0
,A good book with a bad ending,3.0
,It held my interest from beginning to end.,5.0
,Good!,4.0
,Classic Patricia Cornwell,5.0
,Easily her best book,5.0
,One of the All Time Best Cornwell Works....,5.0
Chris Freudenreich,Her best out of the 4 I have read thus far,5.0
,fantastic,5.0
Swasinak@nconnect.net,Totally engrossing! I couldn't put it down.,5.0
lindasmith@ns.sympatico.ca,fascinating and interesting,5.0
,Top TEN!,5.0
,Wonderful and fantastic. A must read.,5.0
candace lafever,awesome,5.0
"M. Keeler ""RetiredGeek""","Great book, great condition too!",5.0
Ruann Keller,Scarpetta has everything you want,4.0
Kathy Smith,Cruel & Unusual (Kay Scarpeta Mystery),5.0
Jo-Ann,Still Loving Scarpetta,4.0
Debra Peacock,Cruel and Unusual,5.0
TB,Great,4.0
Raymond L Stewart,"Cruel & Unusual, Patricia Cornwell",5.0
kacey,Another one done!!!,5.0
leann knight,Cruel and Unusual,5.0
